Altium Designer Pick and Place Locations
C:\Users\Richard Tomasovic\AppData\Local\Temp\Releases\Snapshot\1\Assembly Production\Pick Place\Pick Place for BRR_CB_P03_REV_A1_1-STM32MP157(Production).txt

========================================================================================================================
File Design Information:

Date:       25/03/25
Time:       09:35
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

Center-X(mil) Center-Y(mil) Comment                  Description                                                                                             Designator Footprint                        Layer       Rotation 
2157.480      3917.323      470uF                    "CAP ELECT 470uF ±20% 6.3V Radial, Can - SMD"                                                           C98        CAP_EEEFTJ471XAP                 TopLayer    90       
2681.102      3389.764      470uF                    "CAP ELECT 470uF ±20% 6.3V Radial, Can - SMD"                                                           C97        CAP_EEEFTJ471XAP                 TopLayer    0        
1665.354      3074.803      470uF                    "CAP ELECT 470uF ±20% 6.3V Radial, Can - SMD"                                                           C86        CAP_EEEFTJ471XAP                 TopLayer    270      
3062.992      822.835       "1.5 mm"                 "Testpoint SMT 1.5mm"                                                                                   TP1        TESTPOINT_1_5MM                  BottomLayer 180      
3212.598      822.835       220R                     "RES 220R Ohm 1% 0402"                                                                                  R114       RES0402                          TopLayer    90       
1297.244      442.623       0R                       "RES 0R Ohm 1% 0603"                                                                                    R121A      RES0603                          TopLayer    0        
669.291       2181.460      0R                       "RES 0R Ohm 1% 0603"                                                                                    R121B      RES0603                          TopLayer    0        
669.291       1307.087      0R                       "RES 0R Ohm 1% 0603"                                                                                    R121C      RES0603                          TopLayer    0        
669.291       442.623       0R                       "RES 0R Ohm 1% 0603"                                                                                    R121D      RES0603                          TopLayer    0        
1356.299      273.332       4k7                      "RES 4k7 Ohm 1% 0402"                                                                                   R120A      RES0402                          TopLayer    0        
728.346       2012.169      4k7                      "RES 4k7 Ohm 1% 0402"                                                                                   R120B      RES0402                          TopLayer    0        
728.346       1137.795      4k7                      "RES 4k7 Ohm 1% 0402"                                                                                   R120C      RES0402                          TopLayer    0        
728.346       273.332       4k7                      "RES 4k7 Ohm 1% 0402"                                                                                   R120D      RES0402                          TopLayer    0        
1287.401      336.324       TPS22919DCKR             "Self-Protected Load Switch, 5.5 V, 1.5 A, 90-m?"                                                       IC3A       SC-70                            TopLayer    0        
659.449       2075.161      TPS22919DCKR             "Self-Protected Load Switch, 5.5 V, 1.5 A, 90-m?"                                                       IC3B       SC-70                            TopLayer    0        
659.449       1200.787      TPS22919DCKR             "Self-Protected Load Switch, 5.5 V, 1.5 A, 90-m?"                                                       IC3C       SC-70                            TopLayer    0        
659.449       336.324       TPS22919DCKR             "Self-Protected Load Switch, 5.5 V, 1.5 A, 90-m?"                                                       IC3D       SC-70                            TopLayer    0        
1214.567      422.938       1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C96A       CAP0402                          TopLayer    0        
586.614       2161.775      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C96B       CAP0402                          TopLayer    0        
586.614       1287.402      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C96C       CAP0402                          TopLayer    0        
586.614       422.938       1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C96D       CAP0402                          TopLayer    0        
1214.567      273.332       1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C95A       CAP0402                          TopLayer    0        
586.614       2012.169      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C95B       CAP0402                          TopLayer    0        
586.614       1137.795      1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C95C       CAP0402                          TopLayer    0        
586.614       273.332       1u                       "CAP CER 1u 10% 6.3V X7R 0402"                                                                          C95D       CAP0402                          TopLayer    0        
1307.087      4114.174      "3 mm"                   "Mechanical hole, non plated"                                                                           H4         THT_HOLE_NONPLATE_3_0            TopLayer    0        
3700.788      4114.174      "3 mm"                   "Mechanical hole, non plated"                                                                           H3         THT_HOLE_NONPLATE_3_0            TopLayer    0        
3669.292      196.851       "3 mm"                   "Mechanical hole, non plated"                                                                           H2         THT_HOLE_NONPLATE_3_0            TopLayer    0        
1838.583      196.851       "3 mm"                   "Mechanical hole, non plated"                                                                           H1         THT_HOLE_NONPLATE_3_0            TopLayer    0        
118.110       287.402       Fiducial                 "Fiducial 1mm"                                                                                          FID6       FID_1MM                          BottomLayer 90       
3818.898      295.276       Fiducial                 "Fiducial 1mm"                                                                                          FID5       FID_1MM                          BottomLayer 90       
3700.787      3885.827      Fiducial                 "Fiducial 1mm"                                                                                          FID4       FID_1MM                          BottomLayer 90       
917.323       4039.370      Fiducial                 "Fiducial 1mm"                                                                                          FID3       FID_1MM                          TopLayer    90       
3818.898      295.276       Fiducial                 "Fiducial 1mm"                                                                                          FID2       FID_1MM                          TopLayer    90       
118.110       287.402       Fiducial                 "Fiducial 1mm"                                                                                          FID1       FID_1MM                          TopLayer    90       
2743.512      929.134       0R                       "RES 0R Ohm 1% 0402"                                                                                    R119       RES0402                          BottomLayer 0        
